Algoritmo,Tamanho,Tempo_ms,Comparacoes,Movimentacoes
SelectionSort,100,1,4950,273
InsertionSort,100,0,2641,2743
BubbleSort,100,0,4905,7635
QuickSort,100,0,588,1016
SelectionSort,1000,2,499500,2979
InsertionSort,1000,2,249325,250329
BubbleSort,1000,4,498324,744993
QuickSort,1000,0,10133,17572
SelectionSort,10000,55,49995000,29964
InsertionSort,10000,27,25154560,25164566
BubbleSort,10000,110,49991679,75433704
QuickSort,10000,1,162834,268703
SelectionSort,100000,2404,4999950000,299970
InsertionSort,100000,2440,2498605028,2498705042
BubbleSort,100000,10438,4999946997,7495515132
QuickSort,100000,6,2010637,3505371
